id,company_id,title,department,location,employment_type,min_salary,max_salary,description,requirements,status,expired_at,sort_order
101,1,Frontend Engineer,Engineering,Jakarta,full_time,8000000,15000000,Build and maintain user-facing features using React and Next.js.,"- 2+ years React experience\n- Familiar with TypeScript\n- Good communication skills",open,2026-12-31T00:00:00Z,1
102,1,Product Designer,Design,Remote,full_time,7000000,12000000,Design intuitive user experiences for our web and mobile products.,"- Portfolio required\n- Proficient in Figma\n- Experience with design systems",open,2026-12-31T00:00:00Z,2
103,1,Backend Engineer,Engineering,Jakarta,full_time,9000000,18000000,Design and build scalable APIs and backend services.,"- 3+ years backend experience\n- Node.js or Go\n- Familiar with REST and SQL",open,2026-12-31T00:00:00Z,3
201,2,Senior Software Engineer,Engineering,Jakarta,full_time,15000000,25000000,Lead development of core platform services and mentor junior engineers.,"- 5+ years software engineering\n- Strong system design skills\n- Experience with microservices",open,2026-12-31T00:00:00Z,1
202,2,DevOps Engineer,Infrastructure,Jakarta,full_time,12000000,20000000,Manage CI/CD pipelines and cloud infrastructure on GCP.,"- Experience with Kubernetes and Terraform\n- GCP or AWS certified\n- Familiarity with GitOps",open,2026-12-31T00:00:00Z,2
203,2,Android Developer,Mobile,Jakarta,full_time,10000000,18000000,Build and maintain the Nusantara Tech Android application.,"- 3+ years Android development\n- Kotlin proficiency\n- Experience with Jetpack Compose a plus",open,2026-12-31T00:00:00Z,3
204,2,QA Engineer,Engineering,Remote,full_time,8000000,13000000,Ensure software quality through manual and automated testing.,"- Experience with Selenium or Playwright\n- Strong attention to detail\n- Familiar with Agile/Scrum",open,2026-12-31T00:00:00Z,4
301,3,Creative Director,Creative,Jakarta,full_time,15000000,22000000,Lead the creative team in delivering brand identity and campaign work.,"- 6+ years design experience\n- Strong portfolio in brand identity\n- Team leadership experience",open,2026-12-31T00:00:00Z,1
302,3,Motion Designer,Creative,Remote,full_time,7000000,12000000,Create motion graphics and animations for digital campaigns.,"- Proficient in After Effects and Premiere\n- Strong portfolio of motion work\n- Experience with social media formats",open,2026-12-31T00:00:00Z,2
303,3,Copywriter,Marketing,Jakarta,full_time,6000000,10000000,Write compelling copy for brands across social media and digital channels.,"- Strong Bahasa Indonesia and English writing\n- Portfolio of brand/campaign copy\n- Creative and detail-oriented",open,2026-06-30T00:00:00Z,3
